Nombre,ID,Tipo,Prioridad,Estado,RF relacionados,Módulo,Sprint sugerido,Descripción,Dependencias,Criterios de aceptación,Evidencia requerida,Decisiones bloqueantes,Etiquetas
Implementar producción y rendimiento versionado,BE-008,Backend,P2,Bloqueado por decisión,"RF-017, RF-018",Producción,Sprint 5,"Registrar lotes, insumos, pesajes, salidas, merma y KPIs de queso y total por separado.","DB-008, BE-003","Entradas y salidas concilian; factor y fórmula tienen versión; KPI muestra unidad, periodo y regla.","CP-04, CP-PR-01 y EV-09.","D-03, D-04, D-05","backend,producción,rendimiento"
"Implementar kardex, remisiones y subproductos",BE-009,Backend,P2,Bloqueado por decisión,"RF-019, RF-020, RF-021",Inventario / Ventas,Sprint 5,"Registrar movimientos inmutables, remisiones versionadas y venta/cobro de crema y orillas.","DB-008, BE-008","Stock nunca se edita; remisión anula por contramovimiento; producción, venta, inventario y saldo concilian.","RC-10, RC-11 y EV-16.","D-06, D-07","backend,inventario,subproductos"
Implementar costos y nómina reproducibles,BE-010,Backend,P2,Bloqueado por decisión,"RF-022, RF-023, RF-024",Costos / RRHH,Sprint 6,Calcular estado de costos y nómina desde fuentes aprobadas y políticas versionadas.,"DB-009, SEG-002",Costos y neto se reproducen; no hay referencias rotas; aprobación segregada y ajuste auditado.,"CP-07, CP-CT-01, CP-NO-01, EV-10/11/14/15.","D-06, D-09","backend,costos,nómina"
Construir experiencia Sunmi offline,FE-001,Frontend,P1,Pendiente,"RF-006, RF-007, RF-008",Sunmi,Sprint 2,"Crear descarga de ruta, estado offline, cola, captura rápida y reimpresión 58 mm.","BE-002, DB-004, DB-005",Captura local menor a 1 s; sobrevive cierre/reinicio; muestra pendiente/sincronizado/conflicto; recibo legible en 58 mm.,Video y prueba de campo sin red con impresora física.,,"frontend,offline,sunmi"
Construir centro de control y recepción,FE-002,Frontend,P1,Bloqueado por decisión,"RF-009, RF-010, RF-012",Centro de control,Sprint 3,"Mostrar recorridos, entregado, recibido, diferencia, incidencias, estados y acciones según rol.","BE-003, BE-004, SEG-002",Diferencias y bloqueos visibles; aprobación exige permiso; estados no dependen solo del color.,"Prueba de usuario, accesibilidad y capturas de RC-01/02.",D-05,"frontend,control,reconciliación"
Construir navegación de trazabilidad,FE-003,Frontend,P1,Pendiente,RF-025,Auditoría / Trazabilidad,Sprint 4,"Permitir navegar desde indicador hasta fórmula, entradas, ajustes, aprobadores y documento fuente.","DB-001, DB-009, BE-004","Toda cifra crítica muestra unidad, periodo, planta, estado, versión de regla, entradas y documento.",CP-AU-01 con recorrido grabado y comparación de valores.,,"frontend,trazabilidad,auditoría"
Generar reportes PDF y Excel reproducibles,REP-001,Reportes,P2,Pendiente,"RF-026, RNF-11",Reportes,Sprint 5,"Implementar catálogo del Anexo A con filtros, fecha de generación, estado y formato estable.","Módulos fuente completos, SEG-002","PDF/Excel coinciden con pantalla y filtros; exportación incluye periodo, planta, estado y fecha.",Archivos generados comparados contra datos fuente y catálogo del Anexo A.,,"reportes,pdf,excel"
Automatizar CP-01 a CP-08,QA-001,QA,P1,Bloqueado por decisión,RF-007 a RF-024,QA funcional,Sprint 2-6,Crear casos numéricos oficiales con valores esperados independientes del código de producción.,Módulos correspondientes,Cada CP reproduce exactamente el esperado y documenta redondeo; pruebas congelan tiempo y no dependen del mes actual.,Salida PHPUnit y tabla sistema vs Excel/documento.,D-01 a D-10 aplicables,"qa,casos-numéricos,biblia"
Automatizar RC-01 a RC-14,QA-002,QA,P1,Pendiente,RF-009 a RF-025,QA de reconciliación,Sprint 3-6,"Crear reconciliaciones integrales para acopio, pagos, caja, banco, producción, inventario, costos y nómina.",Módulos correspondientes,Cada diferencia es cero o excepción aprobada; fallos identifican líneas y origen.,Reporte de reconciliación por periodo y ejecución CI.,,"qa,reconciliación,integridad"
Crear suite de seguridad y privacidad,QA-003,QA,P1,Pendiente,"RF-002, RNF-06, RNF-07",QA de seguridad,Sprint 1-2,"Cubrir autenticación, permisos, roles, tenant, mass assignment, PII y datos renderizados.","SEG-001, SEG-002, SEG-003",Accesos no autorizados se rechazan; tenant ajeno responde 404; PII no aparece sin permiso.,Reporte de pruebas y matriz de amenazas cubierta.,,"qa,seguridad,privacidad"
Medir rendimiento y escalabilidad,QA-004,QA,P2,Pendiente,"RNF-03, RNF-12",QA de rendimiento,Sprint 4,"Medir captura local, consultas comunes y volúmenes multiempresa con datos representativos.","MIG-001, módulos base",Captura local menor a 1 s; consultas comunes menores a 2 s; sin N+1 bajo carga objetivo.,"Resultados de carga, perfiles SQL y volumen utilizado.",,"qa,rendimiento,escalabilidad"
Validar accesibilidad y operación Sunmi,QA-005,QA,P2,Pendiente,"RNF-09, RF-006, RF-007",QA UX,Sprint 3,"Validar contraste, teclado, lector de pantalla, mensajes y uso en dispositivo de campo.","FE-001, FE-002",Flujos críticos no dependen solo de color; controles tienen nombre accesible; operación usable con guantes/sol.,"Checklist WCAG, capturas y acta de prueba de campo.",,"qa,accesibilidad,ux"
Depurar e importar maestros y saldos,MIG-001,Migración,P1,Pendiente,"RF-003, RF-004, RF-011",Migración de datos,Sprint 2-4,"Crear proceso repetible para productores, rutas, alias, cuentas, anticipos y saldos con revisión humana.","DB-002, DB-003, DB-004",Totales origen/destino concilian; duplicados clasificados; importación puede repetirse sin duplicar.,"Reporte de migración, excepciones y firmas de validación.",,"migración,datos,depuración"
Resolver y versionar decisiones D-01 a D-10,DOC-001,Documentación,P1,Bloqueado por negocio,RF-001 a RF-024,Gobierno de producto,Sprint 1,"Obtener decisión formal para cada regla bloqueante y registrar impacto, responsable, fecha y versión.",Aprobación del negocio,"Cada decisión tiene estado, alternativa elegida, RF/CP afectados y aprobación; cambios actualizan backlog y pruebas.","Acta, firma o aceptación explícita del Product Owner y responsables.",D-01 a D-10,"gobierno,decisiones,biblia"
